topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/planning/cooperate_status/no_stopping_area,Best-Effort,5945,2.939,9.104,12.001,2.494,2.596,,,0.0
/planning/cooperate_status/start_planner,Best-Effort,5957,0.219,0.357,1.776,0.346,0.462,,,0.0
/planning/cooperate_status/static_obstacle_avoidance_left,Best-Effort,5953,0.205,0.285,1.299,0.29,0.393,,,0.0
/planning/cooperate_status/static_obstacle_avoidance_right,Best-Effort,5951,0.195,0.257,1.273,0.279,0.374,,,0.0
/planning/cooperate_status/traffic_light,Best-Effort,5927,2.75,8.765,12.282,2.511,2.819,,,0.0
/planning/debug/objects_of_interest/blind_spot,Best-Effort,5957,3.05,9.067,12.276,2.496,2.781,,,0.0
/planning/debug/objects_of_interest/crosswalk,Best-Effort,5945,0.678,2.46,9.42,1.503,1.777,,,0.0
/planning/debug/objects_of_interest/goal_planner,Best-Effort,1231,0.233,0.321,1.978,0.314,0.386,,,0.0
/planning/debug/objects_of_interest/intersection,Best-Effort,5955,3.017,9.048,12.46,2.508,2.826,,,0.0
/planning/debug/objects_of_interest/no_stopping_area,Best-Effort,5939,2.971,9.1,12.027,2.492,2.591,,,0.0
/planning/debug/objects_of_interest/obstacle_cruise,Best-Effort,5943,1.675,5.289,11.006,1.927,2.155,,,0.0
/planning/debug/objects_of_interest/obstacle_slow_down,Best-Effort,5949,1.431,3.933,10.588,1.747,1.948,,,0.0
/planning/debug/objects_of_interest/obstacle_stop,Best-Effort,5943,0.507,2.225,8.192,1.359,1.567,,,0.0
/planning/debug/objects_of_interest/traffic_light,Best-Effort,5939,2.531,8.411,12.124,2.485,2.758,,,0.0
/planning/hazard_lights_cmd,Best-Effort,5939,0.221,0.344,2.206,0.579,0.807,,,0.0
/planning/planning_evaluator/debug/processing_time_ms,Best-Effort,5957,1.613,4.277,6.273,1.452,1.885,,,0.0
/planning/planning_evaluator/metrics,Best-Effort,5933,1.84,4.535,6.471,1.507,1.969,,,0.0
/planning/planning_factors/avoidance_by_lane_change,Best-Effort,5937,0.264,1.202,3.116,0.603,0.843,,,0.0
/planning/planning_factors/behavior_path_planner,Best-Effort,5951,0.329,1.182,3.521,0.861,1.126,,,0.0
/planning/planning_factors/blind_spot,Best-Effort,5937,3.081,9.105,12.43,2.5,2.798,,,0.0
/planning/planning_factors/crosswalk,Best-Effort,5959,0.333,1.121,8.57,1.167,1.413,,,0.0
/planning/planning_factors/detection_area,Best-Effort,5937,3.062,9.047,12.219,2.488,2.77,,,0.0
/planning/planning_factors/dynamic_obstacle_stop,Best-Effort,5933,1.49,6.039,10.865,2.209,2.378,,,0.0
/planning/planning_factors/goal_planner,Best-Effort,5953,0.253,1.081,2.26,0.477,0.654,,,0.0
/planning/planning_factors/intersection,Best-Effort,5937,2.748,8.761,12.227,2.496,2.831,,,0.0
/planning/planning_factors/lane_change_left,Best-Effort,5937,0.268,1.2,2.998,0.583,0.812,,,0.0
/planning/planning_factors/lane_change_right,Best-Effort,5949,0.254,1.128,2.497,0.514,0.712,,,0.0
/planning/planning_factors/no_stopping_area,Best-Effort,5949,2.982,9.058,12.053,2.482,2.666,,,0.0
/planning/planning_factors/obstacle_cruise,Best-Effort,5937,2.045,5.8,11.203,2.027,2.293,,,0.0
/planning/planning_factors/obstacle_slow_down,Best-Effort,5955,1.494,4.047,10.66,1.765,1.994,,,0.0
/planning/planning_factors/obstacle_stop,Best-Effort,5937,0.82,2.976,9.361,1.624,1.849,,,0.0
/planning/planning_factors/out_of_lane,Best-Effort,5937,1.772,5.98,11.157,2.154,2.344,,,0.0
/planning/planning_factors/run_out,Best-Effort,5937,2.556,8.849,11.567,2.488,2.479,,,0.0
/planning/planning_factors/side_shift,Best-Effort,5947,0.254,0.408,2.219,0.384,0.526,,,0.0
/planning/planning_factors/start_planner,Best-Effort,5953,0.252,1.062,2.206,0.423,0.571,,,0.0
/planning/planning_factors/static_obstacle_avoidance,Best-Effort,5937,0.312,1.188,2.265,0.433,0.592,,,0.0
/planning/planning_factors/stop_line,Best-Effort,5951,2.924,9.097,11.999,2.496,2.565,,,0.0
/planning/planning_factors/traffic_light,Best-Effort,5937,1.976,6.261,11.572,2.386,2.624,,,0.0
/planning/planning_factors/virtual_traffic_light,Best-Effort,5955,2.926,8.95,12.051,2.48,2.704,,,0.0
/planning/planning_factors/walkway,Best-Effort,5945,0.838,3.184,9.861,1.658,1.983,,,0.0
/planning/planning_validator/debug/marker,Best-Effort,5959,0.617,3.799,7.445,1.403,1.377,,,0.0
/planning/planning_validator/debug/processing_time_ms,Best-Effort,5957,0.647,3.826,7.457,1.41,1.397,,,0.0
/planning/planning_validator/validation_status,Best-Effort,5937,0.764,4.004,7.543,1.447,1.483,,,0.0
/planning/planning_validator/virtual_wall,Best-Effort,5937,0.875,4.096,7.623,1.476,1.549,,,0.0
/planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/avoidance_by_lane_change,Best-Effort,5935,2.583,6.806,11.942,2.341,2.715,,,0.0
/planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/avoidance_by_lane_change/processing_time_ms,Best-Effort,5945,1.122,4.106,10.108,1.87,2.256,,,0.0
/planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/bound,Best-Effort,5935,0.609,1.496,9.233,1.243,1.517,,,0.0
/planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/goal_planner,Best-Effort,5937,2.227,5.812,11.496,2.26,2.625,,,0.0
/planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/goal_planner/processing_time_ms,Best-Effort,5935,0.94,3.354,9.896,1.669,2.02,,,0.0
/planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/internal_state,Best-Effort,5957,0.419,1.399,8.534,1.199,1.463,,,0.0
/planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_left,Best-Effort,5935,2.618,6.699,11.959,2.336,2.704,,,0.0
/planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_left/processing_time_ms,Best-Effort,5943,0.655,2.39,9.246,1.429,1.764,,,0.0
/planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_right,Best-Effort,5957,1.779,5.313,11.069,2.216,2.615,,,0.0
/planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lane_change_right/processing_time_ms,Best-Effort,5935,0.885,3.176,9.801,1.61,1.955,,,0.0
/planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/root_reference_path,Best-Effort,5959,1.669,4.252,5.776,1.428,1.911,,,0.0
